Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G▼
11,Isaiah Thomas,PG,26,BOS,82,79,32.2,7.2,16.9,0.428,2,5.7,0.359,5.2,11.2,0.462,0.488,5.8,6.6,0.871,0.6,2.4,3,6.2,1.1,0.1,2.7,2,22.2
12,Klay Thompson,SG,25,GSW,80,80,33.3,8.1,17.3,0.47,3.5,8.1,0.425,4.7,9.2,0.51,0.569,2.4,2.8,0.873,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1
13,Carmelo Anthony,SF,31,NYK,72,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,6.4,13.8,0.463,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8
14,Blake Griffin,PF,26,LAC,35,35,33.4,8.6,17.2,0.499,0.2,0.5,0.333,8.4,16.7,0.504,0.504,4,5.5,0.727,1.5,6.9,8.4,4.9,0.8,0.5,2.4,2.7,21.4
15,Kawhi Leonard,SF,24,SAS,72,72,33.1,7.7,15.1,0.506,1.8,4,0.443,5.9,11.1,0.528,0.565,4.1,4.6,0.874,1.3,5.5,6.8,2.6,1.8,1,1.5,1.8,21.2
16,Kyle Lowry,PG,29,TOR,77,77,37,6.6,15.6,0.427,2.8,7.1,0.388,3.9,8.5,0.461,0.516,5.2,6.4,0.811,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,21.2
17,Jimmy Butler,SG,26,CHI,67,67,36.9,7,15.4,0.454,1,3.1,0.312,6.1,12.4,0.489,0.485,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2,1.9,20.9
18,Kemba Walker,PG,25,CHO,81,81,35.6,7,16.4,0.427,2.2,6,0.371,4.8,10.4,0.459,0.495,4.6,5.4,0.847,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9
19,C.J. McCollum,SG,24,POR,80,80,34.8,8,17.9,0.448,2.5,5.9,0.417,5.6,12,0.463,0.517,2.3,2.8,0.827,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
20,Andrew Wiggins,SF,20,MIN,81,81,35.1,7.3,16,0.459,0.7,2.3,0.3,6.6,13.6,0.486,0.481,5.3,7,0.761,1.3,2.3,3.6,2,1,0.6,2.2,2,20.7
21,Brook Lopez,C,27,BRK,73,73,33.7,8.1,15.8,0.511,0,0.2,0.143,8.1,15.7,0.515,0.512,4.3,5.5,0.787,2.8,5.1,7.8,2,0.8,1.7,2.4,2.9,20.6
22,Eric Bledsoe,PG,26,PHO,31,31,34.2,7.2,15.9,0.453,1.5,4.2,0.372,5.6,11.7,0.482,0.502,4.5,5.5,0.802,0.6,3.5,4,6.1,2,0.6,3.5,2.4,20.4
23,John Wall,PG,25,WAS,77,77,36.2,7.4,17.5,0.424,1.5,4.3,0.351,5.9,13.3,0.448,0.467,3.5,4.5,0.791,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9
24,Gordon Hayward,SF,25,UTA,80,80,36.2,6.5,15,0.433,1.8,5.1,0.349,4.7,9.9,0.477,0.493,4.9,6,0.824,0.8,4.2,5,3.7,1.2,0.3,2.5,2.3,19.7
25,Kyrie Irving,PG,23,CLE,53,53,31.5,7.4,16.6,0.448,1.6,4.9,0.321,5.8,11.6,0.502,0.496,3.2,3.6,0.885,0.8,2.1,3,4.7,1.1,0.3,2.3,2,19.6
26,Brandon Knight,SG,24,PHO,52,50,36,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.482,3,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6
27,Danilo Gallinari,SF,27,DEN,53,53,34.7,5.4,13.2,0.41,1.6,4.5,0.364,3.8,8.7,0.434,0.472,7.1,8.2,0.868,1,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5
28,Chris Paul,PG,30,LAC,74,74,32.7,7,15.1,0.462,1.6,4.4,0.371,5.3,10.6,0.501,0.517,4,4.4,0.896,0.5,3.7,4.2,10,2.1,0.2,2.6,2.5,19.5
29,Chris Bosh,PF,31,MIA,53,53,33.5,6.8,14.5,0.467,1.5,4.2,0.365,5.2,10.3,0.508,0.52,4,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
30,Dwyane Wade,SG,34,MIA,74,73,30.5,7.3,16,0.456,0.1,0.6,0.159,7.2,15.4,0.468,0.459,4.4,5.5,0.793,1.1,3,4.1,4.6,1.1,0.6,2.7,1.6,19
31,Reggie Jackson,PG,25,DET,79,79,30.7,6.8,15.7,0.434,1.5,4.2,0.353,5.3,11.5,0.464,0.482,3.7,4.3,0.864,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8
32,Dirk Nowitzki,PF,37,DAL,75,75,31.5,6.6,14.8,0.448,1.7,4.6,0.368,5,10.3,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3
33,Karl-Anthony Towns,C,20,MIN,82,82,32,7.6,14.1,0.542,0.4,1.1,0.341,7.3,13,0.559,0.555,2.7,3.4,0.811,2.8,7.7,10.5,2,0.7,1.7,2.2,3,18.3
34,Khris Middleton,SG,24,MIL,79,79,36.1,6.4,14.5,0.444,1.8,4.6,0.396,4.6,9.9,0.466,0.507,3.5,3.9,0.888,0.6,3.3,3.8,4.2,1.7,0.2,2.3,2.6,18.2
35,Nikola Vucevic,C,25,ORL,65,60,31.3,8.2,16.1,0.51,0,0.1,0.222,8.2,16,0.512,0.511,1.7,2.3,0.753,2.7,6.2,8.9,2.8,0.8,1.1,1.9,2.7,18.2
36,LaMarcus Aldridge,PF,30,SAS,74,74,30.6,7.2,14.1,0.513,0,0.2,0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,18
37,Kobe Bryant,SF,37,LAL,66,66,28.2,6,16.9,0.358,2,7.1,0.285,4,9.8,0.41,0.417,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,17.6
38,Jahlil Okafor,C,20,PHI,53,48,30,7.5,14.7,0.508,0,0.1,0.167,7.5,14.6,0.511,0.509,2.5,3.7,0.686,2.3,4.7,7,1.2,0.4,1.2,2.3,2.6,17.5
39,Bradley Beal,SG,22,WAS,55,35,31.1,6.5,14.5,0.449,1.9,4.9,0.387,4.6,9.6,0.481,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4
40,Rudy Gay,SF,29,SAC,70,70,34,6.7,14.4,0.463,1.1,3.1,0.344,5.6,11.3,0.495,0.5,2.8,3.6,0.78,1.5,5,6.5,1.7,1.4,0.7,2,2.6,17.2
41,Paul Millsap,PF,30,ATL,81,81,32.7,6.2,13.2,0.47,0.9,2.9,0.319,5.3,10.3,0.512,0.505,3.8,5,0.757,2.4,6.6,9,3.3,1.8,1.7,2.4,2.9,17.1
42,Ryan Anderson,PF,27,NOP,66,7,30.4,6,14.1,0.427,2,5.4,0.366,4,8.7,0.466,0.498,3,3.5,0.873,2,4,6,1.1,0.6,0.4,1.4,1.7,17
43,Giannis Antetokounmpo,PG,21,MIL,80,79,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,0.537,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
44,Jrue Holiday,PG,25,NOP,65,23,28.2,6.3,14.4,0.439,1.3,4,0.336,5,10.4,0.478,0.485,2.8,3.3,0.843,0.4,2.6,3,6,1.4,0.3,2.6,2.3,16.8
45,Marc Gasol,C,31,MEM,52,52,34.4,6.3,13.6,0.464,0,0.1,0.667,6.3,13.5,0.463,0.465,3.9,4.7,0.829,1.1,5.8,7,3.8,1,1.3,2.3,2.7,16.6
46,Pau Gasol,C,35,CHI,72,72,31.8,6.5,13.8,0.469,0.3,1,0.348,6.2,12.9,0.478,0.481,3.2,4,0.792,2.2,8.9,11,4.1,0.6,2,2.3,2.1,16.5
47,Derrick Favors,PF,24,UTA,62,59,32,6.7,13.1,0.515,0,0.1,0,6.7,13,0.518,0.515,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4
48,Derrick Rose,PG,27,CHI,66,66,31.8,6.8,15.9,0.427,0.7,2.3,0.293,6.1,13.6,0.449,0.448,2.2,2.7,0.793,0.7,2.7,3.4,4.7,0.7,0.2,2.7,1.3,16.4
49,J.J. Redick,SG,31,LAC,75,75,28,5.6,11.7,0.48,2.7,5.6,0.475,3,6.1,0.484,0.593,2.4,2.7,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1,1.8,16.3
50,Andre Drummond,C,22,DET,81,81,32.9,6.8,13.1,0.521,0,0.1,0.333,6.8,13,0.522,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2
51,Kevin Love,PF,27,CLE,77,77,31.5,5.3,12.7,0.419,2.1,5.7,0.36,3.3,7,0.467,0.499,3.4,4.1,0.822,1.9,8,9.9,2.4,0.8,0.5,1.8,2.1,16
52,Victor Oladipo,SG,23,ORL,72,52,33,5.9,13.5,0.438,1.4,3.9,0.348,4.5,9.6,0.475,0.489,2.8,3.4,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16
53,Jeff Teague,PG,27,ATL,79,78,28.5,5.5,12.5,0.439,1.4,3.5,0.4,4.1,9,0.454,0.495,3.3,3.9,0.837,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
54,Jordan Clarkson,SG,23,LAL,79,79,32.3,6,13.9,0.433,1.4,4.1,0.347,4.6,9.8,0.468,0.483,2.1,2.6,0.804,1.2,2.8,4,2.4,1.1,0.1,1.7,2.1,15.5
55,Evan Fournier,SF,23,ORL,79,71,32.5,5.4,11.8,0.462,2,4.9,0.4,3.5,6.8,0.506,0.546,2.5,3,0.836,0.4,2.4,2.8,2.7,1.2,0,1.7,2.7,15.4
56,Mike Conley,PG,28,MEM,56,56,31.4,5.3,12.4,0.422,1.4,3.8,0.363,3.9,8.6,0.449,0.478,3.4,4.1,0.834,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3
57,Greg Monroe,C,25,MIL,79,67,29.3,6.2,11.9,0.522,0,0,0,6.2,11.9,0.522,0.522,2.9,3.9,0.74,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3
58,Zach Randolph,PF,34,MEM,68,53,29.6,6.3,13.3,0.475,0.1,0.4,0.231,6.3,13,0.482,0.479,2.5,3.2,0.796,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
59,Lou Williams,SG,29,LAL,67,35,28.5,4.2,10.3,0.408,1.6,4.8,0.344,2.6,5.6,0.464,0.488,5.3,6.3,0.83,0.5,2.1,2.5,2.5,0.9,0.3,1.6,1.6,15.3
60,Avery Bradley,SG,25,BOS,76,72,33.4,6,13.4,0.447,1.9,5.4,0.361,4.1,8.1,0.505,0.52,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2
61,Tyreke Evans,SG,26,NOP,25,25,30.6,5.4,12.6,0.433,1.3,3.4,0.388,4.1,9.2,0.45,0.486,3,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2
62,Eric Gordon,SG,27,NOP,45,44,32.9,5.1,12.3,0.418,2.5,6.5,0.384,2.6,5.7,0.457,0.521,2.5,2.8,0.888,0.2,2,2.2,2.7,1,0.3,1.6,2.2,15.2
63,Al Horford,C,29,ATL,82,82,32.1,6.5,12.8,0.505,1.1,3.1,0.344,5.4,9.7,0.557,0.547,1.3,1.6,0.798,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2,15.2
64,Thaddeus Young,PF,27,BRK,73,73,33,6.8,13.2,0.514,0.1,0.4,0.233,6.7,12.8,0.523,0.518,1.4,2.2,0.644,2.4,6.6,9,1.8,1.5,0.5,1.9,2.5,15.1
65,Nicolas Batum,SF,27,CHO,70,70,35,5.3,12.5,0.426,2,5.7,0.348,3.3,6.8,0.492,0.506,2.3,2.7,0.849,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9
66,Tobias Harris,PF,23,TOT,76,74,33.1,5.5,11.7,0.469,1.1,3.1,0.335,4.4,8.6,0.518,0.514,2.7,3.2,0.831,1.3,5.4,6.7,2.2,0.9,0.5,1.4,2,14.7
67,Kentavious Caldwell-Pope,SG,22,DET,76,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,3.8,7.8,0.489,0.479,2.4,3,0.811,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5
68,Rodney Hood,SG,23,UTA,79,79,32.2,5.2,12.3,0.42,2,5.7,0.359,3.1,6.6,0.472,0.503,2.2,2.5,0.86,0.5,2.9,3.4,2.7,0.9,0.2,1.6,2.6,14.5
69,Will Barton,SG,25,DEN,82,1,28.7,5.2,12,0.432,1.4,4,0.345,3.8,8,0.476,0.489,2.6,3.3,0.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
70,Kristaps Porzingis,PF,20,NYK,72,72,28.4,5.2,12.3,0.421,1.1,3.4,0.333,4.1,8.9,0.454,0.467,2.8,3.3,0.838,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,14.3
71,Jamal Crawford,SG,35,LAC,79,5,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.3,7.5,0.44,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2
72,Jae Crowder,SF,25,BOS,73,73,31.6,4.9,11.1,0.443,1.7,5,0.336,3.3,6.2,0.529,0.518,2.7,3.3,0.82,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2
73,Hassan Whiteside,C,26,MIA,73,43,29.1,5.7,9.3,0.606,0,0,,5.7,9.3,0.606,0.606,2.9,4.5,0.65,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2
74,Goran Dragic,PG,29,MIA,72,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,4.9,9.3,0.527,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1,0.2,2.6,2.6,14.1
75,Marcus Morris,SF,26,DET,80,80,35.7,5.1,11.8,0.434,1.4,3.7,0.362,3.8,8.1,0.467,0.491,2.5,3.4,0.749,1.1,3.9,5.1,2.5,0.8,0.3,1.8,2.1,14.1
76,Jabari Parker,PF,20,MIL,76,72,31.7,5.8,11.8,0.493,0.1,0.5,0.257,5.7,11.4,0.502,0.498,2.3,3,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2,14.1
77,Deron Williams,PG,31,DAL,65,63,32.4,4.9,11.9,0.414,1.5,4.3,0.344,3.4,7.6,0.454,0.477,2.8,3.2,0.869,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1
78,Darren Collison,PG,28,SAC,74,15,30,5.1,10.5,0.486,1.2,2.9,0.401,3.9,7.6,0.519,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1,0.1,1.8,1.9,14
79,Draymond Green,PF,25,GSW,81,81,34.7,5,10.1,0.49,1.2,3.2,0.388,3.7,6.9,0.537,0.551,2.8,4.1,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3,14
80,Zach LaVine,SG,20,MIN,82,33,28,5.3,11.7,0.452,1.5,3.9,0.389,3.8,7.8,0.482,0.516,2,2.5,0.793,0.3,2.5,2.8,3.1,0.8,0.2,1.9,2.4,14
81,Devin Booker,SG,19,PHO,76,51,27.7,4.8,11.4,0.423,1.3,3.8,0.343,3.5,7.6,0.464,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8
82,Monta Ellis,SG,30,IND,81,81,33.8,5.4,12.6,0.427,1.1,3.5,0.309,4.3,9.1,0.472,0.47,2,2.5,0.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8
83,Dwight Howard,C,30,HOU,71,71,32.1,5.2,8.5,0.62,0,0.1,0,5.2,8.4,0.626,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1,1.6,2.3,3.1,13.7
84,Chandler Parsons,SF,27,DAL,61,51,29.5,5.2,10.7,0.492,1.7,4.1,0.414,3.5,6.6,0.54,0.571,1.5,2.2,0.684,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7
85,Marcin Gortat,C,31,WAS,75,74,30.1,5.8,10.2,0.567,0,0,0,5.8,10.2,0.567,0.567,1.9,2.8,0.705,3,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5
86,Alec Burks,SG,24,UTA,31,3,25.7,4.4,10.8,0.41,1,2.5,0.405,3.4,8.2,0.412,0.458,3.4,4.5,0.752,0.5,3,3.5,2,0.6,0.1,1.6,2.3,13.3
87,D'Angelo Russell,PG,19,LAL,80,48,28.2,4.9,12,0.41,1.6,4.6,0.351,3.3,7.3,0.447,0.478,1.8,2.4,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
88,Dahntay Jones,SF,35,CLE,1,0,42,6,14,0.429,1,2,0.5,5,12,0.417,0.464,0,0,,1,4,5,2,1,2,0,6,13
89,Arron Afflalo,SG,30,NYK,71,57,33.4,5,11.3,0.443,1.3,3.4,0.382,3.7,7.9,0.469,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8
90,Michael Beasley,SF,27,HOU,20,0,18.2,5.4,10.3,0.522,0.2,0.5,0.333,5.2,9.8,0.531,0.529,1.9,2.5,0.776,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2,12.8
91,Robert Covington,SF,25,PHI,67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.791,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8
92,Jarrett Jack,PG,32,BRK,32,32,32.1,4.4,11.2,0.391,1,3.2,0.304,3.4,8,0.426,0.434,3.1,3.5,0.893,0.3,4,4.3,7.4,1.1,0.2,2.9,2.4,12.8
93,Emmanuel Mudiay,PG,19,DEN,68,66,30.4,4.8,13.3,0.364,1.1,3.4,0.319,3.8,9.9,0.379,0.404,2.1,3.1,0.67,0.5,2.9,3.4,5.5,1,0.5,3.2,2.1,12.8
94,Jonas Valanciunas,C,23,TOR,60,59,26,5.1,8.9,0.565,0,0,,5.1,8.9,0.565,0.565,2.7,3.6,0.761,3.1,6.1,9.1,0.7,0.4,1.3,1.4,2.6,12.8
95,Trevor Ariza,SF,30,HOU,81,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7
96,DeAndre Jordan,C,27,LAC,77,77,33.7,4.6,6.6,0.703,0,0,0,4.6,6.6,0.704,0.703,3.5,8,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7
97,Enes Kanter,C,23,OKC,82,1,21,5,8.8,0.576,0.1,0.3,0.476,4.9,8.5,0.579,0.583,2.4,3.1,0.797,3,5.1,8.1,0.4,0.3,0.4,1.4,2,12.7
98,Michael Kidd-Gilchrist,SF,22,CHO,7,7,29.3,4.7,8.7,0.541,0.4,1,0.429,4.3,7.7,0.556,0.566,2.9,4.1,0.69,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,12.7
99,Serge Ibaka,PF,26,OKC,78,78,32.1,5.3,11.1,0.479,0.8,2.4,0.326,4.6,8.8,0.52,0.513,1.2,1.6,0.752,1.8,5,6.8,0.8,0.5,1.9,1.4,2.7,12.6
100,Ish Smith,PG,27,TOT,77,53,29.1,5.2,12.6,0.411,0.7,2.2,0.329,4.4,10.4,0.428,0.44,1.6,2.3,0.693,0.6,3.4,4,6.5,1.1,0.3,2.3,1.7,12.6
101,Kenneth Faried,PF,26,DEN,67,64,25.3,5.2,9.3,0.558,0,0,0.5,5.2,9.3,0.558,0.558,2,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5
102,Wesley Matthews,SG,29,DAL,78,78,33.9,4.2,10.9,0.388,2.4,6.7,0.36,1.8,4.2,0.432,0.498,1.6,1.9,0.863,0.3,2.7,3.1,1.9,1,0.2,1,2.3,12.5
103,J.R. Smith,SG,30,CLE,77,77,30.7,4.6,11,0.415,2.6,6.6,0.4,1.9,4.4,0.438,0.535,0.6,0.9,0.634,0.6,2.3,2.8,1.7,1.1,0.3,0.8,2.6,12.4
104,Luol Deng,PF,30,MIA,74,73,32.4,4.6,10.1,0.455,1.2,3.5,0.344,3.4,6.6,0.513,0.514,2,2.6,0.755,1.5,4.5,6,1.9,1,0.4,1.1,1.6,12.3
105,Gary Harris,SG,21,DEN,76,76,32.1,4.7,10.1,0.469,1.4,3.9,0.354,3.3,6.2,0.543,0.538,1.4,1.8,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
106,Joe Johnson,SF,34,TOT,81,81,33.4,4.7,10.6,0.439,1.5,3.9,0.383,3.2,6.7,0.471,0.509,1.5,1.8,0.831,0.6,3,3.6,3.9,0.8,0,2,1.8,12.2
107,Mirza Teletovic,PF,30,PHO,79,1,21.3,4.2,9.8,0.427,2.3,5.8,0.393,1.9,4,0.476,0.544,1.5,2,0.774,0.7,3.1,3.8,1.1,0.4,0.3,1.1,2,12.2
108,George Hill,PG,29,IND,74,73,34.1,4.4,10,0.441,1.7,4.2,0.408,2.7,5.7,0.466,0.528,1.5,2,0.76,0.8,3.2,4,3.5,1.1,0.2,1.4,2,12.1
109,Al Jefferson,C,31,CHO,47,18,23.3,5.2,10.7,0.485,0,0,,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12
110,Markieff Morris,PF,26,TOT,64,45,25.5,4.8,11.2,0.425,0.7,2.4,0.303,4,8.8,0.458,0.458,1.7,2.3,0.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12
111,Tony Parker,PG,33,SAS,72,72,27.5,4.9,9.9,0.493,0.4,0.9,0.415,4.5,9,0.501,0.512,1.8,2.4,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9
112,Rajon Rondo,PG,29,SAC,72,72,35.2,4.9,10.9,0.454,0.9,2.4,0.365,4.1,8.5,0.479,0.494,1.2,2.1,0.58,1.1,5,6,11.7,2,0.1,3.9,2.4,11.9
113,Omri Casspi,SF,27,SAC,69,21,27.2,4.3,9,0.481,1.6,4,0.409,2.7,5,0.537,0.571,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8
114,C.J. Miles,SF,28,IND,64,24,22.9,4,9.9,0.409,2.2,6,0.367,1.8,3.9,0.474,0.521,1.5,1.9,0.75,0.4,2.3,2.7,1,0.8,0.5,1.1,2.2,11.8
115,Nikola Mirotic,PF,24,CHI,66,38,24.9,3.8,9.2,0.407,2,5.2,0.39,1.7,4,0.43,0.518,2.2,2.7,0.807,0.9,4.6,5.5,1.5,0.9,0.7,1.5,2.3,11.8
116,Harrison Barnes,SF,23,GSW,66,59,30.9,4.5,9.6,0.466,1.2,3.2,0.383,3.2,6.3,0.508,0.531,1.5,2,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
117,Jeff Green,SF,29,TOT,80,41,28.2,4.4,10.3,0.43,0.8,2.7,0.315,3.6,7.6,0.47,0.47,2.1,2.8,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7
118,Jeremy Lin,SG,27,CHO,78,13,26.3,3.8,9.3,0.412,1,2.9,0.336,2.9,6.4,0.446,0.464,3.1,3.7,0.815,0.5,2.7,3.2,3,0.7,0.5,1.9,2.1,11.7
119,Marvin Williams,PF,29,CHO,81,81,28.9,4.2,9.2,0.452,1.9,4.7,0.402,2.3,4.6,0.504,0.554,1.5,1.8,0.833,1.6,4.9,6.4,1.4,0.7,1,0.8,1.6,11.7
120,Kent Bazemore,SF,26,ATL,75,68,27.8,4.3,9.7,0.441,1.5,4.1,0.357,2.8,5.6,0.502,0.517,1.6,2,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
121,Otto Porter,SF,22,WAS,75,73,30.3,4.5,9.6,0.473,1.3,3.6,0.367,3.2,6,0.536,0.541,1.3,1.7,0.754,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6
122,Michael Carter-Williams,PG,24,MIL,54,37,30.5,4.6,10.3,0.452,0.3,1,0.273,4.4,9.3,0.472,0.466,2,3,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3,11.5
123,Jordan Hamilton,SF,25,NOP,11,4,27.6,4.5,10.5,0.422,1.2,4.1,0.289,3.3,6.5,0.507,0.478,1.3,1.9,0.667,1.1,4.5,5.6,2.3,0.7,0.3,1.5,2.2,11.4
124,Julius Randle,PF,21,LAL,81,60,28.2,4.4,10.3,0.429,0.1,0.4,0.278,4.3,9.9,0.436,0.435,2.4,3.3,0.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3,11.3
